Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,TEAM_ID,GAME_ID
CHI,CHI @ MIA,10/31/2006,W,48,117.4,71.0,46.4,56.4,1.38,16.8,38.6,86.4,62.5,17.4,53.8,58.0,92.5,85.0,1610612741,20600001
MIA,MIA vs. CHI,10/31/2006,L,48,71.0,117.4,-46.4,52.0,0.57,11.7,13.6,61.4,37.5,24.7,40.8,44.2,92.5,15.0,1610612748,20600001
LAL,LAL vs. PHX,10/31/2006,W,48,109.6,102.9,6.7,65.2,1.43,20.5,31.7,89.5,59.5,20.2,59.0,60.9,103.5,56.0,1610612747,20600002
PHX,PHX @ LAL,10/31/2006,L,48,102.9,109.6,-6.7,72.5,1.38,21.3,10.5,68.3,40.5,20.4,60.4,62.7,103.5,44.0,1610612756,20600002
ATL,ATL @ PHI,11/01/2006,L,48,85.2,101.1,-15.9,42.3,0.61,9.3,37.7,60.5,47.9,20.5,35.9,42.8,87.5,30.7,1610612737,20600003
PHI,PHI vs. ATL,11/01/2006,W,48,101.1,85.2,15.9,61.3,1.12,15.4,39.5,62.3,52.1,19.5,43.9,51.8,87.5,69.3,1610612755,20600003
IND,IND @ CHA,11/01/2006,W,48,101.0,94.3,6.7,74.3,1.53,17.4,32.1,76.6,52.4,16.2,44.2,50.9,105.0,54.3,1610612754,20600004
CHA,CHA vs. IND,11/01/2006,L,48,94.3,101.0,-6.7,62.2,1.05,16.5,23.4,67.9,47.6,21.0,50.0,53.8,105.0,45.7,1610612766,20600004
CHI,CHI @ ORL,11/01/2006,L,48,98.9,114.7,-15.8,56.8,1.4,16.2,31.3,70.4,45.3,15.8,48.8,50.8,95.0,31.0,1610612741,20600005
ORL,ORL vs. CHI,11/01/2006,W,48,114.7,98.9,15.8,60.0,0.91,16.9,29.6,68.8,54.7,24.2,64.4,70.3,95.0,69.0,1610612753,20600005
BOS,BOS vs. NOK,11/01/2006,L,48,86.1,91.0,-4.9,60.0,0.95,14.0,23.1,79.3,52.7,18.8,42.0,47.2,100.5,51.0,1610612738,20600006
NOK,NOK @ BOS,11/01/2006,W,48,91.0,86.1,4.9,47.2,1.13,13.2,20.7,76.9,47.3,15.0,43.5,46.2,100.5,49.0,1610612740,20600006
NJN,NJN vs. TOR,11/01/2006,W,48,97.1,86.8,10.4,70.0,1.17,19.7,22.0,78.3,55.4,22.9,53.2,57.6,105.5,62.7,1610612751,20600007
TOR,TOR @ NJN,11/01/2006,L,48,86.8,97.1,-10.4,56.8,1.4,15.2,21.7,78.0,44.6,14.2,41.5,44.7,105.5,37.3,1610612761,20600007
MIL,MIL @ DET,11/01/2006,W,48,109.4,101.0,8.3,60.5,3.25,19.0,30.2,67.4,46.9,8.3,47.3,50.5,96.0,54.0,1610612749,20600008
DET,DET vs. MIL,11/01/2006,L,48,101.0,109.4,-8.3,61.3,0.86,14.8,32.6,69.8,53.1,22.9,48.6,55.8,96.0,46.0,1610612765,20600008
CLE,CLE vs. WAS,11/01/2006,W,48,105.4,103.3,2.1,64.9,1.41,18.0,38.3,76.1,57.0,18.5,52.6,53.2,91.5,51.6,1610612739,20600009
