TEAM,MATCH UP,GAME DATE,W/L,MIN,eFG%,FTA Rate,TOV%,OREB%,Opp eFG%,Opp FTA Rate,Opp TOV%,Opp OREB%,TEAM_ID,GAME_ID
CHI,CHI @ MIA,10/31/2006,W,48,53.8,0.405,17.4,38.6,40.8,0.338,24.7,13.6,1610612741,20600001
MIA,MIA vs. CHI,10/31/2006,L,48,40.8,0.338,24.7,13.6,53.8,0.405,17.4,38.6,1610612748,20600001
LAL,LAL vs. PHX,10/31/2006,W,48,59.0,0.289,20.2,31.7,60.4,0.221,20.4,10.5,1610612747,20600002
PHX,PHX @ LAL,10/31/2006,L,48,60.4,0.221,20.4,10.5,59.0,0.289,20.2,31.7,1610612756,20600002
ATL,ATL @ PHI,11/01/2006,L,48,35.9,0.282,20.5,37.7,43.9,0.338,19.5,39.5,1610612737,20600003
PHI,PHI vs. ATL,11/01/2006,W,48,43.9,0.338,19.5,39.5,35.9,0.282,20.5,37.7,1610612755,20600003
IND,IND @ CHA,11/01/2006,W,48,44.2,0.477,16.2,32.1,50.0,0.41,21.0,23.4,1610612754,20600004
CHA,CHA vs. IND,11/01/2006,L,48,50.0,0.41,21.0,23.4,44.2,0.477,16.2,32.1,1610612766,20600004
CHI,CHI @ ORL,11/01/2006,L,48,48.8,0.293,15.8,31.3,64.4,0.712,24.2,29.6,1610612741,20600005
ORL,ORL vs. CHI,11/01/2006,W,48,64.4,0.712,24.2,29.6,48.8,0.293,15.8,31.3,1610612753,20600005
BOS,BOS vs. NOK,11/01/2006,L,48,42.0,0.52,18.8,23.1,43.5,0.393,15.0,20.7,1610612738,20600006
NOK,NOK @ BOS,11/01/2006,W,48,43.5,0.393,15.0,20.7,42.0,0.52,18.8,23.1,1610612740,20600006
NJN,NJN vs. TOR,11/01/2006,W,48,53.2,0.308,22.9,22.0,41.5,0.213,14.2,21.7,1610612751,20600007
TOR,TOR @ NJN,11/01/2006,L,48,41.5,0.213,14.2,21.7,53.2,0.308,22.9,22.0,1610612761,20600007
MIL,MIL @ DET,11/01/2006,W,48,47.3,0.269,8.3,30.2,48.6,0.472,22.9,32.6,1610612749,20600008
DET,DET vs. MIL,11/01/2006,L,48,48.6,0.472,22.9,32.6,47.3,0.269,8.3,30.2,1610612765,20600008
CLE,CLE vs. WAS,11/01/2006,W,48,52.6,0.385,18.5,38.3,48.1,0.377,12.1,23.9,1610612739,20600009
WAS,WAS @ CLE,11/01/2006,L,48,48.1,0.377,12.1,23.9,52.6,0.385,18.5,38.3,1610612764,20600009
NYK,NYK @ MEM,11/01/2006,W,63,47.4,0.379,21.7,37.9,42.9,0.429,12.3,38.6,1610612752,20600010
MEM,MEM vs. NYK,11/01/2006,L,63,42.9,0.429,12.3,38.6,47.4,0.379,21.7,37.9,1610612763,20600010
MIN,MIN vs. SAC,11/01/2006,W,48,51.4,0.278,22.6,23.7,36.5,0.281,19.4,43.3,1610612750,20600011
SAC,SAC @ MIN,11/01/2006,L,48,36.5,0.281,19.4,43.3,51.4,0.278,22.6,23.7,1610612758,20600011
HOU,HOU @ UTA,11/01/2006,L,48,50.0,0.486,13.8,22.9,54.7,0.419,17.0,31.6,1610612745,20600012
UTA,UTA vs. HOU,11/01/2006,W,48,54.7,0.419,17.0,31.6,50.0,0.486,13.8,22.9,1610612762,20600012
POR,POR @ SEA,11/01/2006,W,48,56.2,0.479,17.0,37.8,48.9,0.222,13.8,35.3,1610612757,20600013
