File,Column,Data Type,Description
cumulative_scraped/games_traditional.csv,GAME_ID,string,Unique identifier for each game (format: 00XXXXXXX)
cumulative_scraped/games_traditional.csv,TEAM_ID,integer,Unique identifier for each team
cumulative_scraped/games_traditional.csv,TEAM_ABBREVIATION,string,Three-letter team abbreviation (e.g. LAL, BOS, GSW)
cumulative_scraped/games_traditional.csv,TEAM_NAME,string,Full team name (e.g. Los Angeles Lakers)
cumulative_scraped/games_traditional.csv,GAME_DATE,date,Date the game was played (YYYY-MM-DD)
cumulative_scraped/games_traditional.csv,MATCHUP,string,Game matchup notation (e.g. LAL vs. BOS or LAL @ BOS)
cumulative_scraped/games_traditional.csv,WL,string,Win/Loss indicator (W or L)
cumulative_scraped/games_traditional.csv,MIN,float,Minutes played by the team
cumulative_scraped/games_traditional.csv,FGM,integer,Field goals made
cumulative_scraped/games_traditional.csv,FGA,integer,Field goal attempts
cumulative_scraped/games_traditional.csv,FG_PCT,float,Field goal percentage (0.0 to 1.0)
cumulative_scraped/games_traditional.csv,FG3M,integer,Three-point field goals made
cumulative_scraped/games_traditional.csv,FG3A,integer,Three-point field goal attempts
cumulative_scraped/games_traditional.csv,FG3_PCT,float,Three-point field goal percentage (0.0 to 1.0)
cumulative_scraped/games_traditional.csv,FTM,integer,Free throws made
cumulative_scraped/games_traditional.csv,FTA,integer,Free throw attempts
cumulative_scraped/games_traditional.csv,FT_PCT,float,Free throw percentage (0.0 to 1.0)
cumulative_scraped/games_traditional.csv,OREB,integer,Offensive rebounds
cumulative_scraped/games_traditional.csv,DREB,integer,Defensive rebounds
cumulative_scraped/games_traditional.csv,REB,integer,Total rebounds (OREB + DREB)
cumulative_scraped/games_traditional.csv,AST,integer,Assists
cumulative_scraped/games_traditional.csv,STL,integer,Steals
cumulative_scraped/games_traditional.csv,BLK,integer,Blocks
cumulative_scraped/games_traditional.csv,TOV,integer,Turnovers
cumulative_scraped/games_traditional.csv,PF,integer,Personal fouls
cumulative_scraped/games_traditional.csv,PTS,integer,Points scored
cumulative_scraped/games_traditional.csv,PLUS_MINUS,integer,Plus/minus differential for the game
cumulative_scraped/games_advanced.csv,GAME_ID,string,Unique identifier for each game
cumulative_scraped/games_advanced.csv,TEAM_ID,integer,Unique identifier for each team
cumulative_scraped/games_advanced.csv,TEAM_ABBREVIATION,string,Three-letter team abbreviation
