team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:14:26
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:19:00
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:35:55
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:40:50
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:43:59
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:46:30
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:49:41
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-10 23:56:11
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-11 00:01:47
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-14 05:28:35
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-14 05:34:03
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 22:25:52
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 22:43:49
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 22:58:11
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 23:29:48
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 23:42:49
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 23:46:49
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-14 23:59:10
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 03:19:46
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 04:35:49
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 06:01:17
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 07:01:01
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 07:04:33
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 07:30:34
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-15 08:37:04
Houston Rockets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba/houston-rockets-vs-oklahoma-city-thunder/1615035859/,3.06,1.392,6.5,1.917,-6.5,1.934,226.0,1.917,226.0,1.934,2025-09-15 09:04:28
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-16 01:52:48
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-16 01:56:40
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-16 03:04:11
Golden State Warriors,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/golden-state-warriors-vs-los-angeles-lakers/1615035860/,2.48,1.568,4.0,1.925,-4.0,1.925,225.5,1.934,225.5,1.917,2025-09-16 03:40:06
