team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Boston Celtics,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-memphis-grizzlies/1617052366/,1.709,2.2,-2.5,1.925,2.5,1.925,232.5,1.909,232.5,1.943,2025-10-08 22:33:43
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.56,1.203,10.5,1.892,-10.5,1.961,224.5,1.877,224.5,1.97,2025-10-08 22:33:43
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.0,1.854,1.5,1.917,-1.5,1.934,225.0,1.943,225.0,1.909,2025-10-08 22:33:43
Portland Trail Blazers,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba-preseason/portland-trail-blazers-vs-golden-state-warriors/1617053917/,3.18,1.369,7.5,1.862,-7.5,2.0,219.5,1.862,219.5,1.99,2025-10-08 22:33:43
Boston Celtics,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-memphis-grizzlies/1617052366/,1.694,2.22,-2.5,1.909,2.5,1.943,232.5,1.909,232.5,1.943,2025-10-08 22:43:30
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.56,1.203,10.5,1.892,-10.5,1.961,224.5,1.877,224.5,1.97,2025-10-08 22:43:30
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.0,1.854,1.5,1.917,-1.5,1.934,225.0,1.943,225.0,1.909,2025-10-08 22:43:30
Portland Trail Blazers,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba-preseason/portland-trail-blazers-vs-golden-state-warriors/1617053917/,3.18,1.369,7.5,1.862,-7.5,2.0,219.5,1.862,219.5,1.99,2025-10-08 22:43:30
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.0,1.854,1.5,1.917,-1.5,1.934,225.0,1.943,225.0,1.909,2025-10-08 22:55:58
Portland Trail Blazers,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba-preseason/portland-trail-blazers-vs-golden-state-warriors/1617053917/,3.18,1.369,7.5,1.862,-7.5,2.0,219.5,1.862,219.5,1.99,2025-10-08 22:55:58
Boston Celtics,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-memphis-grizzlies/1617052366/,1.684,2.24,-2.5,1.892,2.5,1.961,232.5,1.892,232.5,1.961,2025-10-08 22:55:58
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.59,1.201,10.5,1.909,-10.5,1.943,224.5,1.884,224.5,1.961,2025-10-08 22:55:58
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.02,1.84,1.5,1.934,-1.5,1.917,225.0,1.943,225.0,1.909,2025-10-08 23:23:38
Boston Celtics,Memphis Grizzlies,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-memphis-grizzlies/1617052366/,1.704,2.21,-2.5,1.917,2.5,1.934,232.5,1.925,232.5,1.925,2025-10-08 23:23:38
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.59,1.201,10.5,1.909,-10.5,1.943,224.5,1.884,224.5,1.961,2025-10-08 23:23:38
Portland Trail Blazers,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba-preseason/portland-trail-blazers-vs-golden-state-warriors/1617053917/,3.23,1.358,7.5,1.884,-7.5,1.97,219.5,1.854,219.5,2.0,2025-10-08 23:23:38
Portland Trail Blazers,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba-preseason/portland-trail-blazers-vs-golden-state-warriors/1617053917/,3.23,1.358,7.5,1.884,-7.5,1.97,219.5,1.854,219.5,2.0,2025-10-08 23:41:53
Toronto Raptors,Sacramento Kings,https://www.pinnacle.com/en/basketball/nba-preseason/toronto-raptors-vs-sacramento-kings/1617053918/,2.01,1.847,1.5,1.917,-1.5,1.934,225.0,1.943,225.0,1.909,2025-10-08 23:41:53
Utah Jazz,Houston Rockets,https://www.pinnacle.com/en/basketball/nba-preseason/utah-jazz-vs-houston-rockets/1617053920/,4.66,1.196,10.5,1.934,-10.5,1.917,224.5,1.854,224.5,2.0,2025-10-08 23:41:53
