game_id,season,game_date,sub_season_id,is_playoff,is_overtime,min,team_id,is_home_team,team,match_up,pts,fgm,fga,fg_pct,3pm,3pa,3p_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,pf,plus_minus,off_rtg,def_rtg,net_rtg,ast_pct,ast_turnover_ratio,ast_ratio,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,fta_rate,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,pts_off_to,2nd_pts,fbps,pitp,opp_pts_off_to,opp_2nd_pts,opp_fbps,opp_pitp,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fbps,pct_pts_ft,pct_pts_off_to,pct_pts_pitp,2fgm_pct_ast,2fgm_pct_uast,3fgm_pct_ast,3fgm_pct_uast,fgm_pct_ast,fgm_pct_uast,is_win
0600001,2006,2006-10-31,2,0,0,48,1610612741,0,CHI,CHI @ MIA,108,39,79,49.4,7,13,53.8,23,32,71.9,13,36,49,22,16,10,5,21,42,117.4,71.0,46.4,56.4,1.38,16.8,38.6,86.4,62.5,17.4,53.8,58.0,92.5,85.0,0.405,40.8,0.338,24.7,13.6,32,18,21,36,15,2,6,26,83.5,16.5,59.3,25.9,19.4,19.4,21.3,29.6,33.3,53.1,46.9,71.4,28.6,56.4,43.6,1
0600001,2006,2006-10-31,2,0,0,48,1610612748,1,MIA,MIA vs. CHI,66,25,65,38.5,3,17,17.6,13,22,59.1,4,25,29,13,23,6,3,24,-42,71.0,117.4,-46.4,52.0,0.57,11.7,13.6,61.4,37.5,24.7,40.8,44.2,92.5,15.0,0.338,53.8,0.405,17.4,38.6,15,2,6,26,32,18,21,36,73.8,26.2,66.7,27.3,13.6,9.1,19.7,22.7,39.4,54.5,45.5,33.3,66.7,52.0,48.0,0
0600002,2006,2006-10-31,2,0,0,48,1610612756,0,PHX,PHX @ LAL,106,40,77,51.9,13,30,43.3,13,17,76.5,4,25,29,29,21,7,5,25,-8,102.9,109.6,-6.7,72.5,1.38,21.3,10.5,68.3,40.5,20.4,60.4,62.7,103.5,44.0,0.221,59.0,0.289,20.2,31.7,16,8,20,34,31,9,25,66,61.0,39.0,50.9,18.9,36.8,18.9,12.3,15.1,32.1,63.0,37.0,92.3,7.7,72.5,27.5,0
0600002,2006,2006-10-31,2,0,0,48,1610612747,1,LAL,LAL vs. PHX,114,46,83,55.4,6,12,50.0,16,24,66.7,12,31,43,30,21,11,1,19,8,109.6,102.9,6.7,65.2,1.43,20.5,31.7,89.5,59.5,20.2,59.0,60.9,103.5,56.0,0.289,60.4,0.221,20.4,10.5,31,9,25,66,16,8,20,34,85.5,14.5,70.2,12.3,15.8,21.9,14.0,27.2,57.9,62.5,37.5,83.3,16.7,65.2,34.8,1
0600003,2006,2006-11-01,2,0,0,48,1610612737,0,ATL,ATL @ PHI,75,26,78,33.3,4,17,23.5,19,22,86.4,17,25,42,11,18,9,4,24,-13,85.2,101.1,-15.9,42.3,0.61,9.3,37.7,60.5,47.9,20.5,35.9,42.8,87.5,30.7,0.282,43.9,0.338,19.5,39.5,13,16,11,34,16,14,13,36,78.2,21.8,58.7,13.3,16.0,14.7,25.3,17.3,45.3,31.8,68.2,100.0,0.0,42.3,57.7,0
0600003,2006,2006-11-01,2,0,0,48,1610612755,1,PHI,PHI vs. ATL,88,31,74,41.9,3,9,33.3,23,25,92.0,15,32,47,19,17,10,6,22,13,101.1,85.2,15.9,61.3,1.12,15.4,39.5,62.3,52.1,19.5,43.9,51.8,87.5,69.3,0.338,35.9,0.282,20.5,37.7,16,14,13,36,13,16,11,34,87.8,12.2,63.6,22.7,10.2,14.8,26.1,18.2,40.9,60.7,39.3,66.7,33.3,61.3,38.7,1
0600004,2006,2006-11-01,2,0,0,48,1610612754,0,IND,IND @ CHA,106,35,86,40.7,6,16,37.5,30,41,73.2,18,32,50,26,17,14,5,26,7,101.0,94.3,6.7,74.3,1.53,17.4,32.1,76.6,52.4,16.2,44.2,50.9,105.0,54.3,0.477,50.0,0.41,21.0,23.4,35,15,23,48,24,13,21,52,81.4,18.6,54.7,9.4,17.0,21.7,28.3,33.0,45.3,69.0,31.0,100.0,0.0,74.3,25.7,1
0600004,2006,2006-11-01,2,0,0,48,1610612766,1,CHA,CHA vs. IND,99,37,78,47.4,4,10,40.0,21,32,65.6,11,35,46,23,22,8,7,29,-7,94.3,101.0,-6.7,62.2,1.05,16.5,23.4,67.9,47.6,21.0,50.0,53.8,105.0,45.7,0.41,44.2,0.477,16.2,32.1,24,13,21,52,35,15,23,48,87.2,12.8,66.7,14.1,12.1,21.2,21.2,24.2,52.5,57.6,42.4,100.0,0.0,62.2,37.8,0
0600005,2006,2006-11-01,2,0,0,48,1610612741,0,CHI,CHI @ ORL,94,37,82,45.1,6,20,30.0,14,24,58.3,11,16,27,21,15,7,0,31,-15,98.9,114.7,-15.8,56.8,1.4,16.2,31.3,70.4,45.3,15.8,48.8,50.8,95.0,31.0,0.293,64.4,0.712,24.2,29.6,28,11,9,38,22,10,17,44,75.6,24.4,66.0,25.5,19.1,9.6,14.9,29.8,40.4,51.6,48.4,83.3,16.7,56.8,43.2,0
0600005,2006,2006-11-01,2,0,0,48,1610612753,1,ORL,ORL vs. CHI,109,35,59,59.3,6,8,75.0,33,42,78.6,6,30,36,21,23,7,7,23,15,114.7,98.9,15.8,60.0,0.91,16.9,29.6,68.8,54.7,24.2,64.4,70.3,95.0,69.0,0.712,48.8,0.293,15.8,31.3,22,10,17,44,28,11,9,38,86.4,13.6,53.2,12.8,16.5,15.6,30.3,20.2,40.4,55.2,44.8,83.3,16.7,60.0,40.0,1
0600006,2006,2006-11-01,2,0,0,48,1610612740,0,NOK,NOK @ BOS,91,36,84,42.9,1,11,9.1,18,33,54.5,10,36,46,17,15,6,4,31,4,91.0,86.1,4.9,47.2,1.13,13.2,20.7,76.9,47.3,15.0,43.5,46.2,100.5,49.0,0.393,42.0,0.52,18.8,23.1,19,11,15,52,16,13,20,40,86.9,13.1,76.9,19.8,3.3,16.5,19.8,20.9,57.1,45.7,54.3,100.0,0.0,47.2,52.8,1
0600006,2006,2006-11-01,2,0,0,48,1610612738,1,BOS,BOS vs. NOK,87,30,75,40.0,3,16,18.8,24,39,61.5,10,42,52,18,19,5,6,31,-4,86.1,91.0,-4.9,60.0,0.95,14.0,23.1,79.3,52.7,18.8,42.0,47.2,100.5,51.0,0.52,43.5,0.393,15.0,20.7,16,13,20,40,19,11,15,52,78.7,21.3,62.1,16.1,10.3,23.0,27.6,18.4,46.0,55.6,44.4,100.0,0.0,60.0,40.0,0
0600007,2006,2006-11-01,2,0,0,48,1610612761,0,TOR,TOR @ NJN,92,37,94,39.4,4,20,20.0,14,20,70.0,7,31,38,21,15,8,5,27,-10,86.8,97.1,-10.4,56.8,1.4,15.2,21.7,78.0,44.6,14.2,41.5,44.7,105.5,37.3,0.213,53.2,0.308,22.9,22.0,15,13,21,40,14,10,20,44,78.7,21.3,71.7,28.3,13.0,22.8,15.2,16.3,43.5,51.5,48.5,100.0,0.0,56.8,43.2,0
0600007,2006,2006-11-01,2,0,0,48,1610612751,1,NJN,NJN vs. TOR,102,40,78,51.3,3,18,16.7,19,24,79.2,9,43,52,28,24,2,5,26,10,97.1,86.8,10.4,70.0,1.17,19.7,22.0,78.3,55.4,22.9,53.2,57.6,105.5,62.7,0.308,41.5,0.213,14.2,21.7,14,10,20,44,15,13,21,40,76.9,23.1,72.5,29.4,8.8,19.6,18.6,13.7,43.1,70.3,29.7,66.7,33.3,70.0,30.0,1
0600008,2006,2006-11-01,2,0,0,48,1610612749,0,MIL,MIL @ DET,105,43,93,46.2,2,14,14.3,17,25,68.0,11,27,38,26,8,12,0,25,8,109.4,101.0,8.3,60.5,3.25,19.0,30.2,67.4,46.9,8.3,47.3,50.5,96.0,54.0,0.269,48.6,0.472,22.9,32.6,23,15,14,70,10,11,11,28,84.9,15.1,78.1,11.4,5.7,13.3,16.2,21.9,66.7,61.0,39.0,50.0,50.0,60.5,39.5,1
0600008,2006,2006-11-01,2,0,0,48,1610612765,1,DET,DET vs. MIL,97,31,72,43.1,8,21,38.1,27,34,79.4,13,35,48,19,22,3,9,23,-8,101.0,109.4,-8.3,61.3,0.86,14.8,32.6,69.8,53.1,22.9,48.6,55.8,96.0,46.0,0.472,47.3,0.269,8.3,30.2,10,11,11,28,23,15,14,70,70.8,29.2,47.4,18.6,24.7,11.3,27.8,10.3,28.9,52.2,47.8,87.5,12.5,61.3,38.7,0
0600009,2006,2006-11-01,2,0,0,48,1610612764,0,WAS,WAS @ CLE,94,36,77,46.8,2,13,15.4,20,29,69.0,9,24,33,22,11,7,4,26,-3,103.3,105.4,-2.1,61.1,2.0,17.9,23.9,61.7,43.0,12.1,48.1,52.4,91.5,48.4,0.377,52.6,0.385,18.5,38.3,21,14,19,46,13,18,8,38,83.1,16.9,72.3,23.4,6.4,20.2,21.3,22.3,48.9,61.8,38.2,50.0,50.0,61.1,38.9,0
